time_received,False,True
14793110327,0,5
14793110328,0,6
14793110329,0,6
14793110330,0,6
14793110331,0,4
14793110332,0,5
14793110333,0,5
14793110334,0,6
14793110335,0,4
14793110336,0,5
14793110337,0,6
14793110338,0,6
14793110339,0,6
14793110340,0,6
14793110341,0,6
14793110342,0,4
14793110343,0,5
14793110344,0,5
14793110345,0,4
14793110346,0,4
14793110347,0,5
14793110348,0,3
14793110349,0,4
14793110350,0,5
14793110351,0,4
14793110352,0,4
14793110353,0,3
14793110354,0,4
14793110355,0,3
14793110356,0,4
14793110357,0,2
14793110358,0,4
14793110359,0,4
14793110360,0,2
14793110361,0,4
14793110362,0,2
14793110363,0,4
14793110364,0,4
14793110365,0,3
14793110366,0,4
14793110367,0,4
14793110368,0,4
14793110369,0,3
14793110370,0,2
14793110371,0,4
14793110372,0,4
14793110373,0,3
14793110374,0,3
14793110375,0,4
14793110376,0,3
14793110377,0,4
14793110378,0,4
14793110379,0,4
14793110380,0,4
14793110381,0,5
14793110382,0,4
14793110383,0,3
14793110384,0,3
14793110385,0,3
14793110386,0,2
14793110387,0,4
14793110388,0,4
14793110389,0,3
14793110390,0,5
14793110391,0,3
14793110392,0,4
14793110393,0,4
14793110394,0,4
14793110395,0,3
14793110396,0,4
14793110397,0,3
14793110398,0,3
14793110399,0,4
14793110400,0,3
14793110401,0,3
14793110402,0,3
14793110403,0,3
14793110404,0,4
14793110405,0,6
14793110406,0,4
14793110407,0,3
14793110408,0,3
14793110409,0,3
14793110410,0,3
14793110411,0,3
14793110412,0,4
14793110413,0,4
14793110414,0,4
14793110415,0,4
14793110416,0,4
14793110417,0,3
14793110418,0,3
14793110419,0,4
14793110420,0,3
14793110421,0,5
14793110422,0,4
14793110423,0,4
14793110424,0,5
14793110425,0,4
14793110426,0,5
14793110427,0,4
14793110428,0,3
14793110429,0,5
14793110430,0,5
14793110431,0,5
14793110432,0,2
14793110433,0,5
14793110434,0,5
14793110435,0,3
14793110436,0,4
14793110437,0,3
14793110438,0,4
14793110439,0,4
14793110440,0,5
14793110441,0,3
14793110442,0,4
14793110443,0,4
14793110444,0,6
14793110445,0,4
14793110446,0,6
14793110447,0,5
14793110448,0,5
14793110449,0,5
14793110450,0,4
14793110451,0,5
14793110452,0,5
14793110453,0,5
14793110454,0,5
14793110455,0,5
14793110456,0,5
14793110457,0,4
14793110458,0,6
14793110459,0,6
14793110460,0,6
14793110461,0,4
14793110462,0,4
14793110463,0,4
14793110464,0,6
14793110465,0,6
14793110466,0,5
14793110467,0,5
14793110468,0,4
14793110469,0,6
14793110470,0,5
14793110471,0,5
14793110472,0,6
14793110473,0,5
14793110474,0,5
14793110475,0,5
14793110476,1,5
14793110477,1,4
14793110478,1,4
14793110479,1,4
14793110480,1,4
14793110481,1,4
14793110482,1,4
14793110483,1,4
14793110484,1,4
14793110485,1,5
14793110486,1,4
14793110487,1,4
14793110488,2,4
14793110489,1,4
14793110490,1,3
14793110491,2,2
14793110492,1,6
14793110493,1,5
14793110494,1,4
14793110495,2,5
14793110496,1,2
14793110497,1,5
14793110498,1,3
14793110499,2,4
14793110500,0,4
14793110501,2,4
14793110502,2,5
14793110503,0,4
14793110504,2,4
14793110505,2,5
14793110506,2,4
14793110507,4,3
14793110508,0,4
14793110509,2,4
14793110510,3,3
14793110511,2,5
14793110512,1,5
14793110513,3,4
14793110514,2,3
14793110515,3,5
14793110516,2,5
14793110517,3,4
14793110518,2,4
14793110519,1,4
14793110520,3,4
14793110521,3,4
14793110522,2,3
14793110523,4,5
14793110524,2,3
14793110525,3,4
14793110526,2,4
14793110527,3,4
14793110528,1,5
14793110529,1,5
14793110530,0,5
14793110531,1,5
14793110532,1,7
14793110533,2,5
14793110534,2,5
14793110535,2,4
14793110536,3,4
14793110537,3,4
14793110538,2,5
14793110539,2,5
14793110540,2,4
14793110541,3,5
14793110542,2,4
14793110543,2,4
14793110544,2,5
14793110545,2,5
14793110546,2,4
14793110547,3,5
14793110548,2,5
14793110549,3,4
14793110550,3,5
14793110551,3,4
14793110552,3,5
14793110553,5,3
14793110554,4,2
14793110555,5,3
14793110556,4,4
14793110557,5,4
14793110558,4,3
14793110559,3,1
14793110560,5,5
14793110561,4,4
